station_name,station_type,latitude,longitude,source
Wilmersdorfer Str.,u_bahn,52.50636000,13.30674400,VBB GTFS
Wittenau,s_bahn,52.59705250,13.33424700,VBB GTFS
Wittenau,u_bahn,52.59561700,13.33436600,VBB GTFS
Wittenbergplatz,u_bahn,52.50177720,13.34296460,VBB GTFS
Wollankstr.,s_bahn,52.56530600,13.39209850,VBB GTFS
Wuhletal,s_bahn,52.51260900,13.57519250,VBB GTFS
Wuhletal,u_bahn,52.51261050,13.57519200,VBB GTFS
Wuhlheide,s_bahn,52.46863100,13.55419250,VBB GTFS
Wutzkyallee,u_bahn,52.42333000,13.47465500,VBB GTFS
Yorckstr.,s_bahn,52.49133650,13.37208200,VBB GTFS
Yorckstr.,u_bahn,52.49298950,13.37083150,VBB GTFS
Yorckstr. (Großgörschenstr.),s_bahn,52.49227300,13.36787250,VBB GTFS
Zehlendorf,s_bahn,52.43093650,13.25808750,VBB GTFS
Zepernick,s_bahn,52.65982850,13.53413850,VBB GTFS
Zeuthen,s_bahn,52.34866500,13.62746800,VBB GTFS
Zitadelle,u_bahn,52.53765150,13.21753500,VBB GTFS
Zoologischer Garten Bhf,s_bahn,52.50704950,13.33179250,VBB GTFS
Zoologischer Garten Bhf,u_bahn,52.50636175,13.33296300,VBB GTFS
Zwickauer Damm,u_bahn,52.42329250,13.48375050,VBB GTFS
